Timestamp,Source IP,Source Port,Destination IP,Destination Port,Protocol,Length,Sequence Number,Acknowledgment Number,Flags,Window Size,Checksum,Payload (Hex),Truncated
2024-09-07T13:48:13.442Z,20.42.65.85,443,172.20.165.17,52040,TCP,60,376986149,1343226493,10,637,1ed1,e00af690bdbbb01f8c2cc030080045000028814900003f0653e2142a4155...,No
2024-09-07T13:48:13.499Z,162.159.135.234,443,172.20.165.17,61130,TCP,254,37494110,1343750159,18,15,300d,e00af690bdbb68e59e61f51f0800450000f0265400003f06d904a29f87ea...,No
2024-09-07T13:48:13.541Z,172.20.165.17,61130,162.159.135.234,443,TCP,54,3035176098,1343226364,10,508,507d,68e59e61f51fe00af690bdbb0800450000285a87400080062499ac14a511...,No
2024-09-07T13:50:44.815Z,162.159.135.234,443,172.20.165.17,61130,TCP,157,37496745,1343750160,18,16,2580,e00af690bdbb68e59e61f51f08004500008f532300003f06ac96a29f87ea...,No
2024-09-07T13:50:44.853Z,172.20.165.17,61130,162.159.135.234,443,TCP,54,3035198094,1343226366,10,510,f043,68e59e61f51fe00af690bdbb0800450000285b314000800623efac14a511...,No
2024-09-07T13:50:44.855Z,162.159.135.234,443,172.20.165.17,61130,TCP,118,37496745,1343750160,18,16,f326,e00af690bdbb68e59e61f51f080045000068532700003f06acb9a29f87ea...,No
2024-09-07T13:50:44.894Z,172.20.165.17,61130,162.159.135.234,443,TCP,54,3035198158,1343226366,10,510,f003,68e59e61f51fe00af690bdbb0800450000285b324000800623eeac14a511...,No
2024-09-07T13:50:45.892Z,172.20.165.17,61303,52.123.164.131,443,TCP,112,4120260254,1343750655,18,511,d0e8,68e59e61f51fe00af690bdbb0800450000626263400080066e0eac14a511...,No
2024-09-07T13:50:45.920Z,52.123.164.131,443,172.20.165.17,61303,TCP,101,1561438086,1343750377,18,233,cb88,e00af690bdbb68e59e61f51f0800450000578fd500003f06c1a7347ba483...,No
2024-09-07T13:50:45.954Z,162.159.135.234,443,172.20.165.17,61130,TCP,300,37496745,1343750160,18,16,7b3e,e00af690bdbb68e59e61f51f08004500011e536600003f06abc4a29f87ea...,No
2024-09-07T13:50:45.962Z,172.20.165.17,61303,52.123.164.131,443,TCP,54,4120260301,1343226367,10,511,6982,68e59e61f51fe00af690bdbb0800450000286264400080066e47ac14a511...,No
2024-09-07T13:50:45.992Z,172.20.165.17,50190,172.64.155.209,443,TCP,55,3125300533,1343226368,10,512,3a70,68e59e61f51fe00af690bdbb080045000029a48540008006bd11ac14a511...,No
2024-09-07T13:50:45.993Z,172.64.155.209,443,172.20.165.17,50190,TCP,66,3942064621,2148532244,10,20,ec7b,e00af690bdbb68e59e61f51f080045000034bef000003f06239cac409bd1...,No
2024-09-07T13:50:45.996Z,172.20.165.17,61130,162.159.135.234,443,TCP,54,3035198404,1343226365,10,509,ef0e,68e59e61f51fe00af690bdbb0800450000285b334000800623edac14a511...,No
2024-09-07T13:50:46.707Z,162.159.135.234,443,172.20.165.17,61130,TCP,382,37496745,1343750160,18,16,6db7,e00af690bdbb68e59e61f51f080045000170539900003f06ab3fa29f87ea...,No
2024-09-07T13:50:46.758Z,172.20.165.17,61130,162.159.135.234,443,TCP,54,3035198732,1343226363,10,507,edc8,68e59e61f51fe00af690bdbb0800450000285b344000800623ecac14a511...,No
